condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0004664179104477612,0.00032976879912630346,0.0006463468462875548,0.0004664179104477612,0.00032976879912630346,0.0006463468462875548,0.0004664179104477612,0.00032976879912630346,0.0006463468462875548,0.008861940298507462,0.0014313793413720662,0.00280550350908925,0.004778989970665511,0.0007947535324781167,0.0015577169236571087,0.0034242848258706463,0.0006056658891785233,0.0011871051427899055,0.013759328358208955,0.0017791531339049547,0.0034871401424537113,0.006365700884473754,0.00086494901273116,0.0016953000649530736,0.00408106417318171,0.0006220498416938376,0.0012192176897199217,0.017723880597014924,0.002015206052957206,0.003949803863796124,0.00740689960540759,0.0008992956602792888,0.001762619494147406,0.00438708718209651,0.0006260630845875654,0.0012270836457916282
discussion,0.012244897959183673,0.004973335944358225,0.009747738450942121,0.012244897959183673,0.004973335944358225,0.009747738450942121,0.012244897959183673,0.004973335944358225,0.009747738450942121,0.03877551020408163,0.00873045231196895,0.01711168653145914,0.02654751990555575,0.006308243697715465,0.01236415764752231,0.022448979591836733,0.005718810127421537,0.011208867849746213,0.05714285714285714,0.01049662045334259,0.020573376088551476,0.0322357954821247,0.006536739682176443,0.012812009777065828,0.024650955620343376,0.005748788939138157,0.011267626320710789,0.0653061224489796,0.011172676356751624,0.021898445659233184,0.034227690901059364,0.006591899600054155,0.012920123216106144,0.025158026869895826,0.0057499465406281825,0.011269895219631237
all,0.0016743407283382169,0.000591534960307497,0.0011594085222026943,0.0016743407283382169,0.000591534960307497,0.0011594085222026943,0.0016743407283382169,0.000591534960307497,0.0011594085222026943,0.011929677689409795,0.0015708353353393871,0.003078837257265199,0.007011426066960239,0.0009672618396029161,0.0018958332056217156,0.005375331379935817,0.0008035847128013543,0.0015750260370906543,0.01820845542067811,0.001934499299197501,0.003791618626427102,0.009018766257610833,0.0010315050631940473,0.0020217499238603326,0.006190575853614781,0.0008165393349595782,0.0016004170965207732,0.022603599832565928,0.0021505351825824768,0.0042150489578616545,0.010157462128402435,0.0010589492636159316,0.002075540556687226,0.006517217037061279,0.0008191889557959396,0.0016056103533600415
