condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.006763059701492537,0.0012517606657808903,0.002453450904930545,0.006763059701492537,0.0012517606657808903,0.002453450904930545,0.006763059701492537,0.0012517606657808903,0.002453450904930545,0.02751865671641791,0.0024984894082804203,0.004897039240229624,0.017609774120207835,0.0016932753748466775,0.003318819734699488,0.014322916666666664,0.0014944424543645036,0.002929107210554427,0.03451492537313433,0.002788043271004595,0.005464564811169006,0.019852069466181826,0.0017366527229197874,0.003403839336922783,0.015235670605306798,0.0015018573197590757,0.0029436403467277884,0.03917910447761194,0.00296327345370823,0.005808015969268131,0.02105966459879693,0.0017543103268111866,0.0034384482405499257,0.015581757164800128,0.0015030749565169276,0.002946026914773178
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.006069485140226036,0.0011237671113203886,0.002202583538187962,0.006069485140226036,0.0011237671113203886,0.002202583538187962,0.006069485140226036,0.0011237671113203886,0.002202583538187962,0.0246965257429887,0.002245485194677844,0.004401150981568574,0.015803832446096944,0.0015215706814048168,0.0029822785355534407,0.01285405329984652,0.0013426390066801671,0.0026315724530931277,0.03097530347425701,0.0025066724458684287,0.00491307799390212,0.017816172848678875,0.0015609685428050997,0.0030594983438979955,0.013673201246453656,0.0013494787186384483,0.0026449782885313586,0.03516115529510255,0.002664902581321325,0.005223209059389797,0.018899925031318803,0.0015770924540198827,0.00309110120987897,0.013983795463093963,0.0013506462000839588,0.002647266552164559
