condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.2037914691943128,0.027796925684578543,0.054481974341773945,0.2037914691943128,0.027796925684578543,0.054481974341773945,0.2037914691943128,0.027796925684578543,0.054481974341773945,0.3033175355450237,0.031721707167168746,0.06217454604765074,0.2570810572077364,0.02820247780012677,0.05527685648824847,0.24162717219589258,0.027690913850796084,0.054274191147560324,0.3412322274881517,0.032717608075019784,0.06412651182703878,0.26993885666164896,0.027999398382554008,0.05487882082980585,0.24728804634017904,0.027526816131430216,0.05395255961760322,0.3696682464454976,0.03331048984038973,0.06528856008716387,0.27726229468981267,0.027819141918623558,0.05452551816050217,0.2493700217633867,0.027450941577937194,0.0538038454927569
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.16996047430830039,0.023660454540274007,0.046374490898937054,0.16996047430830039,0.023660454540274007,0.046374490898937054,0.16996047430830039,0.023660454540274007,0.046374490898937054,0.25296442687747034,0.027384202491207547,0.05367303688276679,0.21440356944993036,0.02427125933158897,0.04757166828991438,0.2015151515151515,0.023769472499257555,0.046588166098544805,0.2845849802371542,0.02842397052208519,0.05571098222328697,0.22512687255181,0.024184389222886137,0.047401402876856825,0.2062362758014932,0.023668776656429646,0.0463908022466021,0.308300395256917,0.029090121430592385,0.057016638003961076,0.2312345619745078,0.024085131710139165,0.04720685815187276,0.20797262684614465,0.023619483101398654,0.04629418687874136
