condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.09235074626865672,0.004421834566246499,0.008666795749843137,0.09235074626865672,0.004421834566246499,0.008666795749843137,0.09235074626865672,0.004421834566246499,0.008666795749843137,0.17234141791044777,0.005768245028386252,0.011305760255637053,0.13581092209774118,0.004786302292221445,0.009381152492754032,0.12356965174129353,0.004590389989126766,0.008997164378688461,0.19099813432835822,0.006003611521182998,0.011767078581518675,0.1419022833147734,0.004793798491273094,0.009395845042895265,0.1261175521203506,0.0045833331129318255,0.008983332901346378,0.2019589552238806,0.006131509848544943,0.012017759303148088,0.14478821367113934,0.004792202131074294,0.009392716176905617,0.1269698265366391,0.0045795614311288195,0.008975940405012485
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.08287986605274174,0.003988963050794425,0.007818367579557072,0.08287986605274174,0.003988963050794425,0.007818367579557072,0.08287986605274174,0.003988963050794425,0.007818367579557072,0.15466722478024278,0.005231610222683769,0.010253956036460187,0.12188305440667939,0.004336567787481877,0.008499672863464479,0.11089716757360123,0.00415513356640667,0.008144061790157073,0.17141063206362495,0.005452691608509666,0.010687275552678946,0.1273497260053889,0.0043469818327158405,0.008520084392123047,0.11318377218335358,0.004150331627492796,0.008134649989885879,0.18124738384261196,0.005573584669980315,0.010924225953161417,0.1299396944792477,0.004347397716531506,0.008520899524401751,0.11394864298641869,0.00414747808554096,0.008129057047660282
