idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
206,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
210,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
216,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
216,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
218,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
221,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
224,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
255,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
271,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
285,dis,0,0.0,0.0,0,0.0,0.0,1,0.31546487678572877,0.125,1,0.31546487678572877,0.125
292,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
297,dis,0,0.0,0.0,0,0.0,0.0,1,0.2890648263178879,0.1,1,0.2890648263178879,0.1
302,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
316,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
322,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
332,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
335,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
346,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
346,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
361,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
373,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
377,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
387,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
401,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
403,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
415,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
418,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
423,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
424,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
426,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
437,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
481,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
490,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
502,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
508,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
509,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
534,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
536,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
537,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
539,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
