condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04057835820895522,0.00301352812725208,0.005906515129414077,0.04057835820895522,0.00301352812725208,0.005906515129414077,0.04057835820895522,0.00301352812725208,0.005906515129414077,0.08138992537313433,0.004176131691981033,0.008185218116282825,0.06266173564921974,0.0033802689902443185,0.006625327220878864,0.056405472636815925,0.003208188102022029,0.006288048679963177,0.1021455223880597,0.004625257345846725,0.00906550439785958,0.06928481695621629,0.0034231773285347774,0.006709427563928163,0.05908746816512675,0.003209955171869215,0.006291512136863661,0.125,0.005051057253637051,0.00990007221712862,0.07512055043037819,0.003445346511952222,0.006752879163426356,0.06071794476352809,0.003207209439346889,0.0062861305011199025
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03641691084135622,0.0027103071797509926,0.005312202072311946,0.03641691084135622,0.0027103071797509926,0.005312202072311946,0.03641691084135622,0.0027103071797509926,0.005312202072311946,0.0730431142737547,0.0037647989401082527,0.007379005922612175,0.056235563512736335,0.0030460179766004813,0.0059701952341369435,0.050620901353425424,0.0028897687265280565,0.00566394670399499,0.09167015487651738,0.004175016093963097,0.00818303154416767,0.06217942551449465,0.003087098292709429,0.006050712653710481,0.053027849203027104,0.002892380562269718,0.005669065902048648,0.11218082879866052,0.0045660846744767615,0.008949525961974453,0.0674166848567312,0.0031095093743526113,0.006094638373731118,0.05449111493219097,0.0028905774495960536,0.005665531801208265
