condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.015625,0.0018941464701138944,0.003712527081423233,0.015625,0.0018941464701138944,0.003712527081423233,0.015625,0.0018941464701138944,0.003712527081423233,0.05690298507462686,0.003538090750551458,0.006934657871080858,0.036107728769246436,0.0024086085190795884,0.0047208726973959935,0.029337686567164182,0.0021549975387793385,0.0042237951760075035,0.07555970149253731,0.004036526514647384,0.007911591968708873,0.04219746690509417,0.0024812132860923307,0.004863178040740968,0.03188438388415067,0.0021659449813915647,0.0042452521635274664,0.08628731343283583,0.004288461933536922,0.008405385389732366,0.04491861193594115,0.0025025586634741764,0.004905014980409386,0.032635826082239285,0.0021662670332199337,0.0042458833851110695
discussion,0.08163265306122448,0.012381855830801168,0.024268437428370288,0.08163265306122448,0.012381855830801168,0.024268437428370288,0.08163265306122448,0.012381855830801168,0.024268437428370288,0.3551020408163265,0.021640518188175948,0.04241541564882486,0.2238743801756506,0.014832274798652007,0.029071258605357933,0.18034013605442176,0.013411953456732602,0.0262874287751959,0.41020408163265304,0.022243157677942615,0.04359658904876752,0.24208182076810073,0.01466327267911268,0.028740014451060853,0.1880814706835115,0.013279080279089748,0.026026997347015905,0.4387755102040816,0.022440631142462194,0.0439836370392259,0.24931532750390525,0.014543214647264222,0.028504700708637875,0.19007323908584411,0.01323211515008014,0.025934945694157073
all,0.02239430724152365,0.002140785016446882,0.004195938632235889,0.02239430724152365,0.002140785016446882,0.004195938632235889,0.02239430724152365,0.002140785016446882,0.004195938632235889,0.08748430305567183,0.004087969241733564,0.008012419713797785,0.05536383157149382,0.00276788094060747,0.005425046643590641,0.04482349658155434,0.0024633170356958985,0.004828101389963961,0.10987861029719548,0.004524843646630254,0.008868693547395298,0.06269628092620619,0.002825822279090624,0.005538611667017622,0.04790292145880257,0.00246972521704244,0.004840661425403182,0.12243616575973211,0.004742601105371374,0.009295498166527893,0.06588018385479892,0.0028406488615840917,0.00556767176870482,0.04878156328855289,0.0024688236453996827,0.004838894344983378
