condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.07109004739336493,0.017732973397032902,0.03475662785818449,0.07109004739336493,0.017732973397032902,0.03475662785818449,0.07109004739336493,0.017732973397032902,0.03475662785818449,0.1990521327014218,0.027553444272509258,0.05400475077411814,0.13529591162764754,0.020253560708730398,0.03969697898911158,0.11445497630331752,0.018825483625213923,0.03689794790541929,0.22274881516587677,0.028713011859407084,0.056277503244437886,0.14299201286075255,0.020298133108794796,0.0397843408932378,0.1176596705032724,0.018788890204450362,0.03682622480072271,0.23222748815165878,0.029138248623581796,0.05711096730222032,0.14542163151021792,0.02028903046994967,0.03976649972110135,0.11834019061507213,0.018774756031792725,0.03679852182231374
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.05928853754940711,0.014876929895436382,0.029158782595055308,0.05928853754940711,0.014876929895436382,0.029158782595055308,0.05928853754940711,0.014876929895436382,0.029158782595055308,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.11283572076455982,0.017179865017837866,0.033672535434962216,0.09545454545454544,0.015921745748871608,0.031206621667788353,0.1857707509881423,0.02449975534907359,0.04801952048418424,0.11925420835422446,0.017250525348030652,0.03381102968214008,0.09812723508375683,0.01590452916893016,0.03117287717110311,0.19367588932806323,0.024893865122122775,0.048791975639360635,0.12128049110140704,0.017254241348209857,0.03381831304249132,0.09869478347739218,0.015895700358850254,0.0311555727033465
