condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.007695895522388059,0.001334674102628725,0.0026159612411523012,0.007695895522388059,0.001334674102628725,0.0026159612411523012,0.007695895522388059,0.001334674102628725,0.0026159612411523012,0.02658582089552239,0.002456954588694284,0.0048156309938407965,0.017621920197648532,0.0017246985697152986,0.0033804091966419853,0.014641635572139303,0.001547746872149649,0.003033583869413312,0.03474813432835821,0.002797108602793092,0.00548233286147446,0.020299163361168257,0.0017767653713525353,0.003482460127850969,0.015768904732290926,0.0015572417899644435,0.0030521939083303093,0.04151119402985075,0.00304648745184964,0.005971115405625294,0.02202888939305599,0.001800969582341755,0.0035299003813898397,0.016254455947306033,0.001558788867001461,0.0030552261793228637
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.006906655504395145,0.0011982606903537512,0.0023485909530933523,0.006906655504395145,0.0011982606903537512,0.0023485909530933523,0.006906655504395145,0.0011982606903537512,0.0023485909530933523,0.02385935537881959,0.002208045052930946,0.0043277683037446545,0.015814732902368542,0.001549737895756194,0.00303748627568214,0.013140086507604298,0.0013904895948246782,0.002725359605856369,0.03118459606529929,0.0025148550504874006,0.004929115898955305,0.01821741575820207,0.0015970204912823338,0.003130160162913374,0.01415175041692413,0.0013992376556480808,0.002742505805070238,0.03725408120552533,0.002740092039203607,0.005370580396839069,0.019769752557016344,0.001619144503744873,0.003173523227339951,0.01458750671872086,0.0014007312993131907,0.0027454333466538534
