condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discussion,0.07142857142857142,0.04022089331224806,0.0788329508920062,0.07142857142857142,0.04022089331224806,0.0788329508920062,0.07142857142857142,0.04022089331224806,0.0788329508920062,0.11904761904761904,0.05057601944205111,0.09912899810642017,0.09566148954299998,0.04286068770460015,0.08400694790101629,0.0880952380952381,0.041488335815485,0.0813171381983506,0.11904761904761904,0.05057601944205111,0.09912899810642017,0.09566148954299998,0.04286068770460015,0.08400694790101629,0.0880952380952381,0.041488335815485,0.0813171381983506,0.11904761904761904,0.05057601944205111,0.09912899810642017,0.09566148954299998,0.04286068770460015,0.08400694790101629,0.0880952380952381,0.041488335815485,0.0813171381983506
all,0.011857707509881422,0.006818829637770298,0.013364906090029783,0.011857707509881422,0.006818829637770298,0.013364906090029783,0.011857707509881422,0.006818829637770298,0.013364906090029783,0.019762845849802372,0.008767788216715313,0.017184864904762013,0.015880563481446636,0.007392200372504313,0.014488712730108454,0.014624505928853756,0.0071242032123418255,0.013963438296189977,0.019762845849802372,0.008767788216715313,0.017184864904762013,0.015880563481446636,0.007392200372504313,0.014488712730108454,0.014624505928853756,0.0071242032123418255,0.013963438296189977,0.019762845849802372,0.008767788216715313,0.017184864904762013,0.015880563481446636,0.007392200372504313,0.014488712730108454,0.014624505928853756,0.0071242032123418255,0.013963438296189977
