condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.01142723880597015,0.0016232979113490888,0.0031816639062442137,0.01142723880597015,0.0016232979113490888,0.0031816639062442137,0.01142723880597015,0.0016232979113490888,0.0031816639062442137,0.033582089552238806,0.002751437176192342,0.00539281686533699,0.02318786567227003,0.0020111514904901963,0.003941856921360785,0.019733364427860698,0.0018373169744236232,0.0036011412698703014,0.04221082089552239,0.0030709314378804474,0.006019025618245677,0.025945924798947997,0.0020541845344766332,0.004026201687574201,0.020851749437337124,0.0018438722442126847,0.0036139895986568617,0.045942164179104475,0.0031975425647489163,0.006267183426907876,0.026920857379845394,0.0020657264722052297,0.00404882388552225,0.021135660965142262,0.0018445127279075881,0.0036152449466988726
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.010255336961071579,0.0014576690441462303,0.002857031326526611,0.010255336961071579,0.0014576690441462303,0.002857031326526611,0.010255336961071579,0.0014576690441462303,0.002857031326526611,0.0301381331100879,0.002473634302328281,0.004848323232563431,0.020809871913498094,0.00180774702964938,0.0035431841781127845,0.017709641412027348,0.001651147673279871,0.003236249439628547,0.03788195897865215,0.0027621850683487987,0.005413882733963645,0.023285082783149644,0.0018470133693969464,0.003620146204018015,0.018713332270259855,0.0016572863931083514,0.0032482813304923687,0.04123064043532859,0.0028766663481809636,0.005638266042434689,0.024160032742732748,0.0018576192232512307,0.003640933677572412,0.01896812771421725,0.0016579295749894055,0.003249541966979235
