condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.012593283582089552,0.0017031025073046436,0.0033380809143171014,0.012593283582089552,0.0017031025073046436,0.0033380809143171014,0.012593283582089552,0.0017031025073046436,0.0033380809143171014,0.044309701492537316,0.0031429050375651954,0.006160093873627783,0.028575421772776163,0.002166407893586183,0.004246159471428919,0.023425839552238807,0.001943237087824052,0.003808744692135142,0.055970149253731345,0.003510705133677582,0.00688098206200806,0.03236953607289452,0.0022200709263903926,0.0043513390157251695,0.0250043495321014,0.0019518016963461103,0.0038255313248383763,0.06413246268656717,0.0037417038288564772,0.007333739504558695,0.03449535248691241,0.002241709660860062,0.004393750935285721,0.02562139648110721,0.0019528151646674872,0.0038275177227482748
discussion,0.0673469387755102,0.01133351334631589,0.022213686158779146,0.0673469387755102,0.01133351334631589,0.022213686158779146,0.0673469387755102,0.01133351334631589,0.022213686158779146,0.19387755102040816,0.017877625723074924,0.03504014641722685,0.13204480691975862,0.013116204954686414,0.02570776171118537,0.11170068027210885,0.012148087732131371,0.023810251954977487,0.22244897959183674,0.018807246953667946,0.036862204029189174,0.14138407477979864,0.013156073190922483,0.025785903454208066,0.1156098153547133,0.012119373829031927,0.02375397270490258,0.22857142857142856,0.018989100878458672,0.037218637721779,0.1428724148130314,0.013151487496748946,0.025776915493627935,0.1159893355838576,0.012114060060008215,0.0237435577176161
all,0.01820845542067811,0.0019344992991975007,0.0037916186264271012,0.01820845542067811,0.0019344992991975007,0.0037916186264271012,0.01820845542067811,0.0019344992991975007,0.0037916186264271012,0.05964838844704898,0.0034266273209186573,0.006716189549000568,0.03918655587114816,0.0024067064562928266,0.00471714465433394,0.032478721919910705,0.002177308010328248,0.004267523700243366,0.0730431142737547,0.0037647989401082527,0.007379005922612175,0.043549344353845346,0.0024526547139327322,0.004807203239308155,0.03429624535735879,0.002183633388824653,0.0042799214420963195,0.08099623273336123,0.0039474208891405954,0.007736944942715567,0.04560978541696647,0.002467658208068248,0.0048366100878137665,0.03488893314087023,0.002183863973998046,0.00428037338903617
