condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.01166044776119403,0.0016395850885824045,0.003213586773621513,0.01166044776119403,0.0016395850885824045,0.003213586773621513,0.01166044776119403,0.0016395850885824045,0.003213586773621513,0.03474813432835821,0.002797108602793092,0.00548233286147446,0.023911953490259447,0.0020382040089153473,0.00399487985747408,0.020312499999999997,0.0018598168749138432,0.0036452410748311326,0.044309701492537316,0.003142905037565196,0.006160093873627784,0.027001719481829303,0.0020860594959418977,0.00408867661204612,0.021585709843638945,0.0018674013606750069,0.0036601066669230136,0.050606343283582086,0.0033477182486188763,0.0065615277672929975,0.028612620071265554,0.0021041196809258793,0.004124074574614723,0.022038133915049045,0.0018682747103994151,0.0036618184323828538
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.010464629552113856,0.0014723124008953414,0.002885732305754869,0.010464629552113856,0.0014723124008953414,0.002885732305754869,0.010464629552113856,0.0014723124008953414,0.002885732305754869,0.03118459606529929,0.0025148550504874006,0.004929115898955305,0.021459702085858623,0.0018321662552809649,0.003591045860350691,0.018229384679782336,0.001671446095321821,0.003276034346830769,0.03976559229803265,0.0028272534261681655,0.005541416715289604,0.024232602163684395,0.0018758526039209865,0.0036766711036851332,0.019372022563734576,0.0016785492119313725,0.00328995645538549,0.04541649225617413,0.003012562994174632,0.005904623468582278,0.025678299469566075,0.0018924844444812975,0.003709269511183343,0.01977804902212857,0.0016794449501273288,0.0032917121022495643
