condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0025652985074626866,0.0007725639684721613,0.001514225378205436,0.0025652985074626866,0.0007725639684721613,0.001514225378205436,0.0025652985074626866,0.0007725639684721613,0.001514225378205436,0.009328358208955223,0.0014682186326859296,0.0028777085200644217,0.005856616754226421,0.0009894627068646258,0.0019393469054546665,0.004734141791044776,0.0008821620198837909,0.0017290375589722302,0.013992537313432836,0.001793955211379326,0.003516152214303479,0.007341238633186626,0.001041723298410313,0.0020417776648842135,0.005332526356313669,0.0008917381779356652,0.0017478068287539038,0.01585820895522388,0.0019080034840293029,0.0037396868286974335,0.007822078116114127,0.0010547402058605408,0.00206729080348666,0.005469085873703411,0.0008928823028727154,0.0017500493136305222
discussion,0.04285714285714286,0.009158947279152842,0.01795153666713957,0.04285714285714286,0.009158947279152842,0.01795153666713957,0.04285714285714286,0.009158947279152842,0.01795153666713957,0.18571428571428572,0.017585577481845065,0.034467731864416325,0.11113114998259993,0.011451212262419448,0.022444376034342118,0.08700680272108845,0.010155446608389419,0.019904675352443262,0.23265306122448978,0.019107146722736473,0.037450007576563485,0.1270406253428839,0.011595366469935166,0.022726918281072928,0.09400388726919338,0.010135138308450295,0.01986487108456258,0.23469387755102042,0.01916523039294057,0.037563851570163516,0.12755082942451657,0.011595159896356337,0.02272651339685842,0.0941399416909621,0.010133470775234585,0.019861602719459786
all,0.006697362913352867,0.0011800898908931367,0.0023129761861505477,0.006697362913352867,0.0011800898908931367,0.0023129761861505477,0.006697362913352867,0.0011800898908931367,0.0023129761861505477,0.027417329426538302,0.0023626436211152723,0.004630781497385933,0.016652874870991388,0.0015422804131397275,0.003022869609753866,0.01317148039626064,0.0013564136965405487,0.0026585708452194754,0.03641691084135622,0.0027103071797509926,0.005312202072311946,0.019616814080602212,0.001600475809792098,0.003136932587192512,0.0144260732058974,0.0013675846085085582,0.0026804658326767743,0.03830054416073671,0.0027767995908428984,0.005442527198052081,0.02010066500207419,0.0016073539386304578,0.003150413719715697,0.014562580924029227,0.001368055405141495,0.00268138859407733
