0,1,2
Everything Everywhere All at Once,0.29345593270077275,0.09564293304994687
Heat,0.26900127164237503,0.010626992561105207
Moon,0.24943754279565686,0.17003188097768332
Arrival,0.22987381394893866,0.04250797024442083
The Thing,0.2200919495255796,0.1594048884165781
Prisoners,0.2200919495255796,0.04250797024442083
Alien,0.21520101731390004,0.021253985122210415
Die Hard,0.2005282206788614,0.5844845908607864
Se7en,0.1907463562555023,0.2975557917109458
Fight Club,0.18585542404382274,0.5207226354941552
Drive,0.17607355962046367,0.11689691817215728
Dune,0.17607355962046367,0.4038257173219979
Blade Runner,0.16629169519710457,0.9139213602550478
Bullet Train,0.16140076298542502,0.010626992561105207
Uncut Gems,0.16140076298542502,0.6376195536663124
Shutter Island,0.15650983077374547,0.04250797024442083
Interstellar,0.15650983077374547,0.3294367693942614
Pulp Fiction,0.14672796635038637,0.361317747077577
About Time,0.14672796635038637,0.010626992561105207
Clue,0.14672796635038637,0.09564293304994687
Donnie Darko,0.14183703413870682,0.17003188097768332
Fargo,0.14183703413870682,0.37194473963868224
Coraline,0.14183703413870682,0.19128586609989373
Children of Men,0.14183703413870682,0.021253985122210415
Requiem for a Dream,0.1369461019270273,0.5419766206163655
Her,0.1369461019270273,0.1806588735387885
Memento,0.1369461019270273,1.1370882040382573
The Nice Guys,0.13205516971534775,0.07438894792773645
Stand by Me,0.13205516971534775,0.053134962805526036
Star Maps,0.13205516971534775,0.1275239107332625
In Bruges,0.1271642375036682,0.1487778958554729
Gone Girl,0.1271642375036682,0.24442082890541977
The Godfather,0.12227330529198865,1.445270988310308
The Matrix,0.12227330529198865,0.9989373007438895
No Country for Old Men,0.12227330529198865,0.21253985122210414
Primer,0.12227330529198865,0.23379383634431455
Amélie,0.1173823730803091,0.4038257173219979
Parasite,0.1173823730803091,0.23379383634431455
Snowpiercer,0.1173823730803091,0.053134962805526036
Yellowstone,0.1173823730803091,0.010626992561105207
Wind River,0.1173823730803091,0.17003188097768332
Zodiac,0.11249144086862956,0.34006376195536664
Forrest Gump,0.11249144086862956,0.010626992561105207
12 Angry Men,0.11249144086862956,0.053134962805526036
Psycho,0.11249144086862956,0.23379383634431455
The Prestige,0.11249144086862956,0.09564293304994687
Goodfellas,0.11249144086862956,0.09564293304994687
Inception,0.10760050865695002,2.189160467587673
Mad Max: Fury Road,0.10760050865695002,1.381509032943677
Gremlins,0.10760050865695002,0.38257173219978746
Klaus,0.10760050865695002,0.1806588735387885
There Will Be Blood,0.10760050865695002,0.021253985122210415
The Departed,0.10760050865695002,0.06376195536663125
Brazil,0.10760050865695002,0.06376195536663125
Predestination,0.10760050865695002,0.04250797024442083
Memories of Murder,0.10270957644527047,0.38257173219978746
Oldboy,0.10270957644527047,0.053134962805526036
Shaun of the Dead,0.10270957644527047,0.021253985122210415
Palm Springs,0.09781864423359092,0.021253985122210415
The Menu,0.09781864423359092,0.010626992561105207
L.A. Confidential,0.09781864423359092,0.031880977683315624
Knives Out,0.09781864423359092,0.6269925611052072
