condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.009478672985781991,0.00668645672564027,0.013105455182254928,0.009478672985781991,0.00668645672564027,0.013105455182254928,0.009478672985781991,0.00668645672564027,0.013105455182254928,0.009478672985781991,0.00668645672564027,0.013105455182254928,0.009478672985781991,0.00668645672564027,0.013105455182254928,0.009478672985781991,0.00668645672564027,0.013105455182254928,0.018957345971563982,0.009410724633117973,0.018445020280911228,0.012468861391333923,0.006992002199216871,0.013704324310465067,0.01066350710900474,0.006730551122739835,0.013191880200570077,0.018957345971563982,0.009410724633117973,0.018445020280911228,0.012468861391333923,0.006992002199216871,0.013704324310465067,0.01066350710900474,0.006730551122739835,0.013191880200570077
discussion,0.07142857142857142,0.04022089331224806,0.0788329508920062,0.07142857142857142,0.04022089331224806,0.0788329508920062,0.07142857142857142,0.04022089331224806,0.0788329508920062,0.16666666666666666,0.05820252464746486,0.11407694830903112,0.11470308012637939,0.04366055273229066,0.08557468335528969,0.098015873015873,0.041187537052646765,0.08072757262318765,0.16666666666666666,0.05820252464746486,0.11407694830903112,0.11470308012637939,0.04366055273229066,0.08557468335528969,0.098015873015873,0.041187537052646765,0.08072757262318765,0.16666666666666666,0.05820252464746486,0.11407694830903112,0.11470308012637939,0.04366055273229066,0.08557468335528969,0.098015873015873,0.041187537052646765,0.08072757262318765
all,0.019762845849802372,0.008767788216715313,0.017184864904762013,0.019762845849802372,0.008767788216715313,0.017184864904762013,0.019762845849802372,0.008767788216715313,0.017184864904762013,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.02694675638461634,0.00941496117699324,0.01845332390690675,0.02417654808959157,0.009010978184624154,0.01766151724186334,0.043478260869565216,0.012846453049679978,0.025179047977372755,0.029440549876993644,0.009550148016470122,0.01871829011228144,0.02516469038208169,0.009027424934453859,0.017693752871529564,0.043478260869565216,0.012846453049679978,0.025179047977372755,0.029440549876993644,0.009550148016470122,0.01871829011228144,0.02516469038208169,0.009027424934453859,0.017693752871529564
