condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.009095149253731344,0.0014499203676390116,0.0028418439205724626,0.009095149253731344,0.0014499203676390116,0.0028418439205724626,0.009095149253731344,0.0014499203676390116,0.0028418439205724626,0.020988805970149255,0.002189328614900168,0.004291084085204329,0.015163830523737511,0.0016765985977476563,0.0032861332515854063,0.013242381840796019,0.0015652329409544382,0.003067856564270699,0.026119402985074626,0.0024358903666663622,0.00477434511866607,0.016781549538264134,0.0017083444059026113,0.0033483550355691183,0.01388546478914949,0.0015700995682933114,0.0030773951538548903,0.029384328358208957,0.002579317424763266,0.005055462152536001,0.017636062926181122,0.0017216008607012269,0.0033743376869744047,0.014135276195094294,0.0015710329388590692,0.003079224560163776
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.008162411050648808,0.001301822854983982,0.002551572795768605,0.008162411050648808,0.001301822854983982,0.002551572795768605,0.008162411050648808,0.001301822854983982,0.002551572795768605,0.018836333193804938,0.0019669408055757766,0.003855203978928522,0.013608728607322401,0.0015061112180045125,0.0029519779872888446,0.011884330961350635,0.001405898318183175,0.0027555607036390227,0.023440770196735034,0.0021890597338068128,0.004290557078261353,0.015060545085825997,0.0015348981056471898,0.003008400287068492,0.012461463586411264,0.0014103812433747195,0.00276434723701445,0.026370866471326915,0.002318362586222669,0.004543990668996431,0.01582742524643463,0.0015469644766733627,0.003032050374279791,0.012685655990909234,0.0014112658835274596,0.002766081131713821
