condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.03894589552238806,0.002954799551277757,0.0057914071205044035,0.03894589552238806,0.002954799551277757,0.0057914071205044035,0.03894589552238806,0.002954799551277757,0.0057914071205044035,0.06856343283582089,0.0038596344757439753,0.007564883572458192,0.05518077526592878,0.0032421670301900248,0.006354647379172448,0.05068796641791044,0.003109051661563818,0.006093741256665083,0.07835820895522388,0.00410437079049315,0.008044566749366574,0.05830514048339705,0.0032653356265655454,0.006400057828068469,0.05195099650556739,0.0031104578467116614,0.0060964973795548565,0.08512126865671642,0.0042621042461811615,0.008353724322515077,0.06005298723157427,0.0032741117081393108,0.006417258947953049,0.05244976893108983,0.003109914405569543,0.006095432234916304
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.034951862704060276,0.0026572476437685165,0.005208205381786292,0.034951862704060276,0.0026572476437685165,0.005208205381786292,0.034951862704060276,0.0026572476437685165,0.005208205381786292,0.06153202176642947,0.0034768239540063,0.006814574949852348,0.04952180082467615,0.0029197008210688612,0.005722613609294968,0.04548974466303892,0.0027990310815941225,0.00548610091992448,0.0703223105902051,0.003699432859222518,0.007250888404076135,0.05232575186119853,0.002941583388745858,0.005765503441941882,0.046623246759286946,0.00280073497642184,0.005489440553786806,0.07639179573043114,0.00384317030341584,0.007532613794695046,0.053894351035787026,0.002950105170523249,0.005782206134225568,0.04707086839190314,0.0028004280225389115,0.005488838924176266
