condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.014218009478672985,0.008169588695462889,0.01601239384310726,0.014218009478672985,0.008169588695462889,0.01601239384310726,0.014218009478672985,0.008169588695462889,0.01601239384310726,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.031802457943233685,0.010425336986246135,0.020433660493042426,0.02661927330173776,0.00941197161042889,0.018447464356440624,0.052132701421800945,0.015339783767065157,0.030065976183447706,0.03349064366412478,0.010536901996424744,0.0206523279129925,0.02740916271721959,0.009434452001958991,0.018491525923839625,0.05687203791469194,0.015981776708268735,0.03132428234820672,0.03465012490639126,0.01058304653787184,0.020742771214228805,0.027705371248025277,0.009435004075318916,0.018492607987625077
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.011857707509881422,0.006818829637770298,0.013364906090029783,0.011857707509881422,0.006818829637770298,0.013364906090029783,0.011857707509881422,0.006818829637770298,0.013364906090029783,0.039525691699604744,0.01227389334798654,0.02405683096205362,0.026522998521827303,0.008723122417923097,0.01709731993912927,0.02220026350461133,0.00787117751321746,0.015427507925906222,0.043478260869565216,0.012846453049679978,0.025179047977372755,0.027930932067708813,0.008819227380717665,0.017285685666206623,0.022859025032938077,0.007891345468976727,0.015467037119194383,0.04743083003952569,0.013389931422422298,0.026244265587947704,0.02889793025789943,0.008859994281821144,0.017365588792369442,0.023106060606060606,0.007892372424405988,0.015469049951835736
