condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.1990521327014218,0.02755344427250926,0.05400475077411815,0.1990521327014218,0.02755344427250926,0.05400475077411815,0.1990521327014218,0.02755344427250926,0.05400475077411815,0.3744075829383886,0.033397073209134605,0.06545826348990383,0.29604878959153724,0.028130581694282366,0.05513594012079344,0.2695102685624013,0.027298183338557595,0.053504439343572886,0.3886255924170616,0.03363641318681357,0.06592736984615459,0.30085184347722455,0.028025875597817117,0.05493071617172155,0.2716166403370195,0.02722674308596007,0.053364416448481736,0.3933649289099526,0.03370947031082346,0.06607056180921399,0.3019883954514811,0.02799080101473144,0.054861969988873625,0.2718954248366013,0.027214924087938033,0.05334125121235855
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.31225296442687744,0.029192237133579088,0.05721678478181501,0.24690235021270493,0.02445651538595092,0.0479347701564638,0.2247694334650856,0.02361797927706945,0.046291239383056126,0.3241106719367589,0.029483849781033713,0.05778834557082608,0.25090805918456277,0.024405117133883925,0.04783402958241249,0.22652613087395695,0.02357388324469782,0.04620481115960773,0.32806324110671936,0.029576223219432363,0.05796939751008743,0.25185593454649213,0.02438484516602591,0.047794296525410784,0.22675863494277815,0.02356616276391584,0.04618967901727504
