condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.08530805687203792,0.019276261283512997,0.03778147211568547,0.08530805687203792,0.019276261283512997,0.03778147211568547,0.08530805687203792,0.019276261283512997,0.03778147211568547,0.16113744075829384,0.02537078991057397,0.04972674822472498,0.12497202071527966,0.020841320191145506,0.04084898757464519,0.11303317535545024,0.019983626846351812,0.03916790861884955,0.1990521327014218,0.027553444272509258,0.05400475077411814,0.13773768614858162,0.020951142413004147,0.04106423912948813,0.11860001504551267,0.0199296516195343,0.039062117174287224,0.23696682464454977,0.02934308944866779,0.05751245531938887,0.14738111770320025,0.020918112962526596,0.040999501406552126,0.12126976885828294,0.019876040775249782,0.038957039919489574
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.07114624505928854,0.016193823150423472,0.031739893374830006,0.07114624505928854,0.016193823150423472,0.031739893374830006,0.07114624505928854,0.016193823150423472,0.031739893374830006,0.13438735177865613,0.021485265480790848,0.04211112034235006,0.10422567735543085,0.01761982794577969,0.034534862773728185,0.09426877470355732,0.016868960094762013,0.03306316178573355,0.16600790513833993,0.023439323945529902,0.04594107493323861,0.11487214141245346,0.01776205748746895,0.03481363267543914,0.0989114749984315,0.016845563367606665,0.033017304200509065,0.1976284584980237,0.025084891653043177,0.04916638763996462,0.12291468709634487,0.017777518400793148,0.03484393606555457,0.1011380285735087,0.016811951429094994,0.03295142480102619
