condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.009095149253731344,0.0014499203676390116,0.0028418439205724626,0.009095149253731344,0.0014499203676390116,0.0028418439205724626,0.009095149253731344,0.0014499203676390116,0.0028418439205724626,0.021455223880597014,0.002212993483048163,0.0043374672267744,0.015447887369890511,0.0016882876278330003,0.0033090437505526806,0.013463930348258707,0.001573070110244659,0.0030832174160795316,0.025419776119402986,0.002403908405974723,0.0047116604757104575,0.016697520045505145,0.0017126923455781683,0.00335687699733321,0.013960887526652453,0.0015768253691561891,0.0030905777235461307,0.030783582089552237,0.0026381119222680612,0.0051706993676454,0.018091772255691904,0.0017340360305506852,0.003398710619879343,0.01436394921339045,0.0015782918821250617,0.003093452088965121
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.008162411050648808,0.001301822854983982,0.002551572795768605,0.008162411050648808,0.001301822854983982,0.002551572795768605,0.008162411050648808,0.001301822854983982,0.002551572795768605,0.019254918375889492,0.001988251367130484,0.0038969726795757484,0.01386365446674142,0.0015166464271771155,0.0029726269972671464,0.012083158922840799,0.001412966030896418,0.002769413420556979,0.022812892423608205,0.0021602370974314186,0.004234064710965581,0.01498513310069612,0.0015387780066438627,0.003016004893021971,0.01252915146803803,0.0014164258879950083,0.002776194740470216,0.02762662201758058,0.0023713890069690215,0.004647922453659282,0.016236400048641044,0.0015582110231047769,0.0030540936052853625,0.01289087782064007,0.0014178183299973445,0.002778923926794795
