condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0947867298578199,0.02021340970514383,0.03961828302208191,0.0947867298578199,0.02021340970514383,0.03961828302208191,0.0947867298578199,0.02021340970514383,0.03961828302208191,0.2037914691943128,0.027796925684578543,0.054481974341773945,0.1548849103430597,0.02233629366561621,0.043779135584607776,0.13838862559241705,0.02120054950860163,0.04155307703685919,0.22748815165876776,0.028928260405094833,0.056699390393985874,0.1625977234088337,0.02234412782043014,0.04379449052804307,0.14159896185962537,0.02114969037497231,0.041453393134945726,0.23222748815165878,0.029138248623581792,0.05711096730222031,0.16375720465110016,0.022334030769720317,0.04377470030865182,0.14189517039043104,0.021142319811648002,0.04143894683083008
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.07905138339920949,0.01699699578752415,0.033314111743547335,0.07905138339920949,0.01699699578752415,0.033314111743547335,0.07905138339920949,0.01699699578752415,0.033314111743547335,0.16996047430830039,0.023660454540274007,0.046374490898937054,0.1291727908394688,0.0189715302557905,0.03718419930134938,0.11541501976284585,0.01796930311237909,0.03521983410026302,0.18972332015810275,0.024698851424542444,0.04840974879210319,0.13560521596546998,0.019013351700410082,0.03726616933280376,0.11809241483154527,0.017941369589013226,0.035165084394465924,0.19367588932806323,0.024893865122122775,0.048791975639360635,0.13657221415566062,0.019010573744896606,0.03726072453999735,0.1183394504046678,0.01793661722122175,0.035155769753594635
