condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.017490671641791043,0.002002141846318717,0.003924198018784686,0.017490671641791043,0.002002141846318717,0.003924198018784686,0.017490671641791043,0.002002141846318717,0.003924198018784686,0.05177238805970149,0.0033839867659423623,0.00663261406124703,0.03479428718210066,0.0024303545643884444,0.004763494946201351,0.029232742537313432,0.002220054241931353,0.004351306314185452,0.07136194029850747,0.0039316950220638905,0.007706122243245225,0.04116588400334935,0.002505944881074666,0.004911651966906345,0.031883643538261085,0.0022309513279678067,0.004372664602816901,0.08838619402985075,0.004335317629012813,0.008497222552865114,0.04549030734622703,0.0025396356538421013,0.004977685881530519,0.033081809252402686,0.002231458472501955,0.004373658606103832
discussion,0.07346938775510205,0.011798550812018754,0.023125159591556758,0.07346938775510205,0.011798550812018754,0.023125159591556758,0.07346938775510205,0.011798550812018754,0.023125159591556758,0.3877551020408163,0.02203367393513904,0.043186000912872516,0.22375554213852153,0.014124217647187125,0.027683466588486763,0.1707482993197279,0.012621367644419809,0.024737880583062824,0.6081632653061224,0.02207538247292224,0.04326774964692759,0.29661861732941985,0.013093649542206296,0.02566355310272434,0.20173955296404275,0.01203472002968413,0.023588051258180896,0.6877551020408164,0.020956085238000365,0.04107392706648071,0.3167053445148495,0.012516868910338949,0.024533063064264338,0.2072428729190118,0.011876257532316472,0.023277464763340285
all,0.023231477605692757,0.0021794987475205335,0.004271817545140245,0.023231477605692757,0.0021794987475205335,0.004271817545140245,0.023231477605692757,0.0021794987475205335,0.004271817545140245,0.08622854750941816,0.004061315303922108,0.007960177995687332,0.05417290060375119,0.002745787342373775,0.0053817431910525996,0.043745639737686616,0.002455124499597462,0.004812044019211025,0.12641272498953537,0.004808071591434112,0.00942382031921086,0.06736342258220547,0.0028486355085003477,0.005583325596660681,0.049302939398167524,0.002466752655365168,0.004834835204515729,0.14985349518627042,0.005164195853410075,0.010121823872683747,0.07330432329696479,0.0028734128800866738,0.0056318892449698805,0.05094261318639985,0.002464842665621668,0.004831091624618469
