condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.022388059701492536,0.002259512431346034,0.004428644365438226,0.022388059701492536,0.002259512431346034,0.004428644365438226,0.022388059701492536,0.002259512431346034,0.004428644365438226,0.04757462686567164,0.0032510708341290137,0.006372098834892866,0.03562199099067207,0.0025688019092239287,0.0050348517420789,0.03165422885572139,0.0024210868820963268,0.0047453302889088,0.05573694029850746,0.0035038162334750326,0.006867479817611064,0.038280671603019116,0.0025991974535930855,0.005094427009042448,0.03276178630656243,0.0024250737325872025,0.004753144515870917,0.059934701492537316,0.003625279058281861,0.007105546954232447,0.039389805971550784,0.00260851145756742,0.005112682456832144,0.033091926859417524,0.002425310093231053,0.004753607782732864
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.020092088740058602,0.0020301473246930077,0.003979088756398295,0.020092088740058602,0.0020301473246930077,0.003979088756398295,0.020092088740058602,0.0020301473246930077,0.003979088756398295,0.04269568857262453,0.0029250911091172524,0.005733178573869815,0.03196883578233609,0.0023106313983683466,0.00452883754080196,0.02840798102413841,0.002177208198212219,0.004267328068495949,0.05002092925910423,0.0031539534253979115,0.006181748713779907,0.03435485973916826,0.0023386571376792574,0.004583767989851344,0.029401954726358235,0.0021810939902953148,0.004274944220978817,0.05378819589786522,0.0032640743984873885,0.006397585821035281,0.03535024864085595,0.0023473478982342496,0.004600801880539129,0.029698238253072908,0.002181401659517548,0.004275547252654394
