condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.004739336492890996,0.004739336492890995,0.009289099526066349,0.004739336492890996,0.004739336492890995,0.009289099526066349,0.004739336492890996,0.004739336492890995,0.009289099526066349,0.02843601895734597,0.01146992169674842,0.022481046525626904,0.015807165526606323,0.006851658711658317,0.013429251074850301,0.011769352290679306,0.005768387311423049,0.011306039130389176,0.04265402843601896,0.01394456068972829,0.02733133895186745,0.02029200917158211,0.007277960323266961,0.014264802233603243,0.013559768299104793,0.005847182317596651,0.011460477342489435,0.04739336492890995,0.014662429131826483,0.028738361098379905,0.02153679369782473,0.007367335432439386,0.014439977447581197,0.013924332644711792,0.005854516900699303,0.011474853125370634
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.003952569169960474,0.003952569169960475,0.0077470355731225305,0.003952569169960474,0.003952569169960475,0.0077470355731225305,0.003952569169960474,0.003952569169960475,0.0077470355731225305,0.023715415019762844,0.009585247036710886,0.018787084191953338,0.013183051091359423,0.005723975952066331,0.011218992866050008,0.009815546772068511,0.004816795171688794,0.009440918536510036,0.03557312252964427,0.011667971947923109,0.022869225017929293,0.01692337523795978,0.006085977890439955,0.01192851666526231,0.011308739569609136,0.004884928132537845,0.009574459139774175,0.039525691699604744,0.012273893347986538,0.024056830962053615,0.017961515692652245,0.006162582838778847,0.01207866236400654,0.011612783351913788,0.0048915924783309046,0.009587521257528573
