idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
96,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
96,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
96,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
109,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
111,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
112,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.23540891336663824,0.05555555555555555
115,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
126,dis,0,0.0,0.0,0,0.0,0.0,1,0.3333333333333333,0.14285714285714285,1,0.3333333333333333,0.14285714285714285
136,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
139,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
140,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
149,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
151,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
152,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
152,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
155,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
155,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
164,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
181,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
181,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
182,dis,0,0.0,0.0,0,0.0,0.0,1,0.31546487678572877,0.125,1,0.31546487678572877,0.125
182,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
189,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
193,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
194,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
195,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
206,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
210,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
216,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
216,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
218,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
221,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
224,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
255,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
271,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
285,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
292,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
297,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
302,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
316,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
322,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
332,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
