condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.04407649253731343,0.003135005757839136,0.006144611285364706,0.04407649253731343,0.003135005757839136,0.006144611285364706,0.04407649253731343,0.003135005757839136,0.006144611285364706,0.0986473880597015,0.004554213794027701,0.008926259036294293,0.0729668372542628,0.0035666860992447876,0.006990704754519784,0.0644317475124378,0.003355580079671076,0.006576936956155309,0.10820895522388059,0.004744455893907801,0.00929913355205929,0.07611872789593756,0.0035854263714300257,0.00702743568800285,0.06576779421345652,0.0033562142442532,0.006578179918736272,0.11590485074626866,0.0048890397484281835,0.00958251790691924,0.07812787464666678,0.0035924776499171142,0.007041256193837543,0.06635372570773329,0.0033551278379044557,0.006576050562292733
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.03955629970699037,0.002820110755358599,0.005527417080502853,0.03955629970699037,0.002820110755358599,0.005527417080502853,0.03955629970699037,0.002820110755358599,0.005527417080502853,0.08853076601088321,0.004109987464764477,0.008055575430938374,0.06548384222400144,0.003216855679886335,0.006305037132577216,0.05782405469513045,0.0030246689857369525,0.005928351212044426,0.09711176224361658,0.004284254825911551,0.00839713945878664,0.06831249585972797,0.0032349903327467864,0.0063405810521837015,0.05902308530500242,0.003025789481929105,0.005930547384581046,0.10401841774801172,0.004416996368820243,0.008657312882887677,0.07011559784112749,0.003242205547602256,0.006354722873300422,0.05954892755018007,0.0030250654846434525,0.005929128349901167
