condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.025186567164179104,0.002393142173137624,0.004690558659349743,0.025186567164179104,0.002393142173137624,0.004690558659349743,0.025186567164179104,0.002393142173137624,0.004690558659349743,0.05830223880597015,0.0035786699223200984,0.007014193047747393,0.04253069062923024,0.0027647219374625095,0.005418854997426519,0.037309546019900504,0.002587604605665271,0.00507170502710393,0.07392723880597014,0.003996207736062772,0.007832567162683034,0.04761102077742861,0.0028149868834586545,0.005517374291578963,0.03942166029969201,0.002593542851414816,0.00508334398877304,0.08582089552238806,0.004277947242955598,0.008384776596192972,0.05064046865347388,0.0028346718994157315,0.005555956922854834,0.04026412322854298,0.002593287816166043,0.005082844119685444
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.022603599832565928,0.0021505351825824768,0.0042150489578616545,0.022603599832565928,0.0021505351825824768,0.0042150489578616545,0.022603599832565928,0.0021505351825824768,0.0042150489578616545,0.052323147760569275,0.003221806455502338,0.006314740652784583,0.03816902499333179,0.0024881738086954845,0.0048768206650431495,0.03348332635691363,0.0023279765637761814,0.004562834065001315,0.06634575136040184,0.0036009905086315146,0.0070579413969177685,0.04272835016609751,0.002534899414628462,0.004968402852671785,0.03537883620030962,0.002333961594294726,0.004574564724817663,0.07701967350355797,0.003857619940994869,0.007560935084349943,0.0454471179543943,0.0025536288202696374,0.0050051124877284895,0.0361349017170348,0.002334010440984628,0.00457466046432987
