condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0023320895522388058,0.000736696949732437,0.0014439260214755766,0.0023320895522388058,0.000736696949732437,0.0014439260214755766,0.0023320895522388058,0.000736696949732437,0.0014439260214755766,0.01189365671641791,0.0016557043950226153,0.003245180614244326,0.006972361284062806,0.0010368231443409932,0.0020321733629083466,0.005375466417910447,0.0008883489843583821,0.0017411640093424289,0.017957089552238806,0.0020281798554995516,0.003975232516779121,0.008965940606968443,0.0011050991435528367,0.00216599432136356,0.006217239694385217,0.0009027206147567478,0.0017693324049232256,0.022154850746268658,0.0022479814097614093,0.004406043563132362,0.010033528441923541,0.0011314167867199868,0.002217576901971174,0.006513467214427991,0.0009050239910941097,0.001773847022544455
discussion,0.01020408163265306,0.004544701481461414,0.008907614903664372,0.01020408163265306,0.004544701481461414,0.008907614903664372,0.01020408163265306,0.004544701481461414,0.008907614903664372,0.03469387755102041,0.008275695858705658,0.01622036388306309,0.023412608435031065,0.005887991394906779,0.011540463134017286,0.019625850340136055,0.0052955393816983675,0.0103792571881288,0.04897959183673469,0.009759960715608855,0.019129523002593355,0.028165484448634644,0.006116443920527854,0.011988230084234592,0.021662617427923553,0.005336185307901406,0.010458923203486755,0.05918367346938776,0.010670848451503866,0.020914862964947576,0.030645089523464297,0.00619253814674808,0.012137374767626236,0.022289951068146557,0.00533843349086614,0.010463329642097634
all,0.0031393888656341567,0.0008093980508807908,0.00158642017972635,0.0031393888656341567,0.0008093980508807908,0.00158642017972635,0.0031393888656341567,0.0008093980508807908,0.00158642017972635,0.014231896190874843,0.001713725045582949,0.00335890108934258,0.008658364026627572,0.0011112837160801219,0.0021781160835170387,0.0068368913073810515,0.0009663792198306411,0.0018941032708680563,0.021138551695269986,0.002081232532013761,0.004079215762746971,0.01093491852291998,0.0011761879440170203,0.00230532837027336,0.0078012152258698925,0.000979714383432834,0.0019202401915283543,0.02595228128924236,0.0023003836172480734,0.004508751889806224,0.012147313483772635,0.0012007244140707011,0.0023534198515785744,0.00813139879423588,0.0009816541964560502,0.0019240422250538583
