condition,recall@1_mean,recall@1_se,recall@1_ci,ndcg@1_mean,ndcg@1_se,ndcg@1_ci,mrr@1_mean,mrr@1_se,mrr@1_ci,recall@5_mean,recall@5_se,recall@5_ci,ndcg@5_mean,ndcg@5_se,ndcg@5_ci,mrr@5_mean,mrr@5_se,mrr@5_ci,recall@10_mean,recall@10_se,recall@10_ci,ndcg@10_mean,ndcg@10_se,ndcg@10_ci,mrr@10_mean,mrr@10_se,mrr@10_ci,recall@20_mean,recall@20_se,recall@20_ci,ndcg@20_mean,ndcg@20_se,ndcg@20_ci,mrr@20_mean,mrr@20_se,mrr@20_ci
recommendation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890995,0.009289099526066349,0.0014266824439051241,0.001426682443905124,0.0027962975900540426,0.000526592943654555,0.0005265929436545551,0.001032122169562928,0.004739336492890996,0.004739336492890995,0.009289099526066349,0.0014266824439051241,0.001426682443905124,0.0027962975900540426,0.000526592943654555,0.0005265929436545551,0.001032122169562928
discussion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.003952569169960475,0.0077470355731225305,0.0011898418800947873,0.0011898418800947875,0.0023320900849857834,0.00043917435221783044,0.0004391743522178304,0.0008607817303469475,0.003952569169960474,0.003952569169960475,0.0077470355731225305,0.0011898418800947873,0.0011898418800947875,0.0023320900849857834,0.00043917435221783044,0.0004391743522178304,0.0008607817303469475
